transformer: 4-7= node1
transformer: 4-9= node2
transformer: 5-6= node3
transformer: 7-8= node4
transformer: 7-9= node5
Sensor no: 1-1= node6
Sensor no: 1-2= node7
Sensor no: 2-1= node8
Sensor no: 2-2= node9
Sensor no: 2-3= node10
Sensor no: 2-4= node11
Sensor no: 3-1= node12
Sensor no: 3-2= node13
Sensor no: 4-1= node14
Sensor no: 4-2= node15
Sensor no: 4-3= node16
Sensor no: 4-4= node17
Sensor no: 4-5= node18
Sensor no: 5-1= node19
Sensor no: 5-2= node20
Sensor no: 5-3= node21
Sensor no: 5-4= node22
Sensor no: 6-1= node23
Sensor no: 6-2= node24
Sensor no: 6-3= node25
Sensor no: 6-4= node26
Sensor no: 7-1= node27
Sensor no: 7-2= node28
Sensor no: 7-3= node29
Sensor no: 8-1= node30
Sensor no: 9-1= node31
Sensor no: 9-2= node32
Sensor no: 9-3= node33
Sensor no: 9-4= node34
Sensor no: 10-1= node35
Sensor no: 10-2= node36
Sensor no: 11-1= node37
Sensor no: 11-2= node38
Sensor no: 12-1= node39
Sensor no: 12-2= node40
Sensor no: 13-1= node41
Sensor no: 13-2= node42
Sensor no: 13-3= node43
Sensor no: 14-1= node44
Sensor no: 14-2= node45
