transformer: 2-30= node1
transformer: 6-31= node2
transformer: 10-32= node3
transformer: 22-35= node4
Sensor no: 1-1= node5
Sensor no: 1-2= node6
Sensor no: 2-1= node7
Sensor no: 2-2= node8
Sensor no: 2-3= node9
Sensor no: 2-4= node10
Sensor no: 3-1= node11
Sensor no: 3-2= node12
Sensor no: 3-3= node13
Sensor no: 4-1= node14
Sensor no: 4-2= node15
Sensor no: 4-3= node16
Sensor no: 5-1= node17
Sensor no: 5-2= node18
Sensor no: 5-3= node19
Sensor no: 6-1= node20
Sensor no: 6-2= node21
Sensor no: 6-3= node22
Sensor no: 6-4= node23
Sensor no: 7-1= node24
Sensor no: 7-2= node25
Sensor no: 8-1= node26
Sensor no: 8-2= node27
Sensor no: 8-3= node28
Sensor no: 9-1= node29
Sensor no: 9-2= node30
Sensor no: 10-1= node31
Sensor no: 10-2= node32
Sensor no: 10-3= node33
Sensor no: 11-1= node34
Sensor no: 11-2= node35
Sensor no: 11-3= node36
Sensor no: 12-1= node37
Sensor no: 12-2= node38
Sensor no: 13-1= node39
Sensor no: 13-2= node40
Sensor no: 13-3= node41
Sensor no: 14-1= node42
Sensor no: 14-2= node43
Sensor no: 14-3= node44
Sensor no: 15-1= node45
Sensor no: 15-2= node46
Sensor no: 16-1= node47
Sensor no: 16-2= node48
Sensor no: 16-3= node49
Sensor no: 16-4= node50
Sensor no: 16-5= node51
Sensor no: 17-1= node52
Sensor no: 17-2= node53
Sensor no: 17-3= node54
Sensor no: 18-1= node55
Sensor no: 18-2= node56
Sensor no: 19-1= node57
Sensor no: 19-2= node58
Sensor no: 19-3= node59
Sensor no: 20-1= node60
Sensor no: 20-2= node61
Sensor no: 21-1= node62
Sensor no: 21-2= node63
Sensor no: 22-1= node64
Sensor no: 22-2= node65
Sensor no: 22-3= node66
Sensor no: 23-1= node67
Sensor no: 23-2= node68
Sensor no: 23-3= node69
Sensor no: 24-1= node70
Sensor no: 24-2= node71
Sensor no: 25-1= node72
Sensor no: 25-2= node73
Sensor no: 25-3= node74
Sensor no: 26-1= node75
Sensor no: 26-2= node76
Sensor no: 26-3= node77
Sensor no: 26-4= node78
Sensor no: 27-1= node79
Sensor no: 27-2= node80
Sensor no: 28-1= node81
Sensor no: 28-2= node82
Sensor no: 29-1= node83
Sensor no: 29-2= node84
Sensor no: 29-3= node85
Sensor no: 30-1= node86
Sensor no: 31-1= node87
Sensor no: 32-1= node88
Sensor no: 33-1= node89
Sensor no: 34-1= node90
Sensor no: 35-1= node91
Sensor no: 36-1= node92
Sensor no: 37-1= node93
Sensor no: 38-1= node94
Sensor no: 39-1= node95
Sensor no: 39-2= node96
