transformer: 21-20= node1
transformer: 24-26= node2
transformer: 7-29= node3
transformer: 34-32= node4
transformer: 11-41= node5
transformer: 41-43= node6
transformer: 15-45= node7
transformer: 14-46= node8
transformer: 10-51= node9
transformer: 13-49= node10
transformer: 11-43= node11
transformer: 40-56= node12
transformer: 39-57= node13
transformer: 9-55= node14
Sensor no: 1-1= node15
Sensor no: 1-2= node16
Sensor no: 1-3= node17
Sensor no: 1-4= node18
Sensor no: 2-1= node19
Sensor no: 2-2= node20
Sensor no: 3-1= node21
Sensor no: 3-2= node22
Sensor no: 3-3= node23
Sensor no: 4-1= node24
Sensor no: 4-2= node25
Sensor no: 4-3= node26
Sensor no: 4-4= node27
Sensor no: 5-1= node28
Sensor no: 5-2= node29
Sensor no: 6-1= node30
Sensor no: 6-2= node31
Sensor no: 6-3= node32
Sensor no: 6-4= node33
Sensor no: 7-1= node34
Sensor no: 7-2= node35
Sensor no: 7-3= node36
Sensor no: 8-1= node37
Sensor no: 8-2= node38
Sensor no: 8-3= node39
Sensor no: 9-1= node40
Sensor no: 9-2= node41
Sensor no: 9-3= node42
Sensor no: 9-4= node43
Sensor no: 9-5= node44
Sensor no: 9-6= node45
Sensor no: 10-1= node46
Sensor no: 10-2= node47
Sensor no: 10-3= node48
Sensor no: 11-1= node49
Sensor no: 11-2= node50
Sensor no: 11-3= node51
Sensor no: 11-4= node52
Sensor no: 12-1= node53
Sensor no: 12-2= node54
Sensor no: 12-3= node55
Sensor no: 12-4= node56
Sensor no: 12-5= node57
Sensor no: 13-1= node58
Sensor no: 13-2= node59
Sensor no: 13-3= node60
Sensor no: 13-4= node61
Sensor no: 13-5= node62
Sensor no: 13-6= node63
Sensor no: 14-1= node64
Sensor no: 14-2= node65
Sensor no: 14-3= node66
Sensor no: 15-1= node67
Sensor no: 15-2= node68
Sensor no: 15-3= node69
Sensor no: 15-4= node70
Sensor no: 15-5= node71
Sensor no: 16-1= node72
Sensor no: 16-2= node73
Sensor no: 17-1= node74
Sensor no: 17-2= node75
Sensor no: 18-1= node76
Sensor no: 18-2= node77
Sensor no: 19-1= node78
Sensor no: 19-2= node79
Sensor no: 20-1= node80
Sensor no: 20-2= node81
Sensor no: 21-1= node82
Sensor no: 21-2= node83
Sensor no: 22-1= node84
Sensor no: 22-2= node85
Sensor no: 22-3= node86
Sensor no: 23-1= node87
Sensor no: 23-2= node88
Sensor no: 24-1= node89
Sensor no: 24-2= node90
Sensor no: 24-3= node91
Sensor no: 25-1= node92
Sensor no: 25-2= node93
Sensor no: 26-1= node94
Sensor no: 26-2= node95
Sensor no: 27-1= node96
Sensor no: 27-2= node97
Sensor no: 28-1= node98
Sensor no: 28-2= node99
Sensor no: 29-1= node100
Sensor no: 29-2= node101
Sensor no: 29-3= node102
Sensor no: 30-1= node103
Sensor no: 30-2= node104
Sensor no: 31-1= node105
Sensor no: 31-2= node106
Sensor no: 32-1= node107
Sensor no: 32-2= node108
Sensor no: 32-3= node109
Sensor no: 33-1= node110
Sensor no: 34-1= node111
Sensor no: 34-2= node112
Sensor no: 35-1= node113
Sensor no: 35-2= node114
Sensor no: 36-1= node115
Sensor no: 36-2= node116
Sensor no: 36-3= node117
Sensor no: 37-1= node118
Sensor no: 37-2= node119
Sensor no: 37-3= node120
Sensor no: 38-1= node121
Sensor no: 38-2= node122
Sensor no: 38-3= node123
Sensor no: 38-4= node124
Sensor no: 38-5= node125
Sensor no: 39-1= node126
Sensor no: 39-2= node127
Sensor no: 40-1= node128
Sensor no: 40-2= node129
Sensor no: 41-1= node130
Sensor no: 41-2= node131
Sensor no: 41-3= node132
Sensor no: 41-4= node133
Sensor no: 42-1= node134
Sensor no: 42-2= node135
Sensor no: 43-1= node136
Sensor no: 43-2= node137
Sensor no: 44-1= node138
Sensor no: 44-2= node139
Sensor no: 45-1= node140
Sensor no: 45-2= node141
Sensor no: 46-1= node142
Sensor no: 46-2= node143
Sensor no: 47-1= node144
Sensor no: 47-2= node145
Sensor no: 48-1= node146
Sensor no: 48-2= node147
Sensor no: 48-3= node148
Sensor no: 49-1= node149
Sensor no: 49-2= node150
Sensor no: 49-3= node151
Sensor no: 49-4= node152
Sensor no: 50-1= node153
Sensor no: 50-2= node154
Sensor no: 51-1= node155
Sensor no: 51-2= node156
Sensor no: 52-1= node157
Sensor no: 52-2= node158
Sensor no: 53-1= node159
Sensor no: 53-2= node160
Sensor no: 54-1= node161
Sensor no: 54-2= node162
Sensor no: 55-1= node163
Sensor no: 55-2= node164
Sensor no: 56-1= node165
Sensor no: 56-2= node166
Sensor no: 56-3= node167
Sensor no: 56-4= node168
Sensor no: 57-1= node169
Sensor no: 57-2= node170
