transformer: 26-39= node1
transformer: 35-50= node2
transformer: 8-36= node3
transformer: 6-34= node4
transformer: 84-23= node5
transformer: 33-45= node6
transformer: 65-38= node7
transformer: 77-14= node8
transformer: 52-75= node9
transformer: 16-78= node10
Sensor no: 1-1= node11
Sensor no: 1-2= node12
Sensor no: 2-1= node13
Sensor no: 2-2= node14
Sensor no: 2-3= node15
Sensor no: 2-4= node16
Sensor no: 2-5= node17
Sensor no: 2-6= node18
Sensor no: 3-1= node19
Sensor no: 3-2= node20
Sensor no: 3-3= node21
Sensor no: 3-4= node22
Sensor no: 3-5= node23
Sensor no: 3-6= node24
Sensor no: 3-7= node25
Sensor no: 3-8= node26
Sensor no: 3-9= node27
Sensor no: 3-10= node28
Sensor no: 3-11= node29
Sensor no: 3-12= node30
Sensor no: 4-1= node31
Sensor no: 4-2= node32
Sensor no: 5-1= node33
Sensor no: 5-2= node34
Sensor no: 5-3= node35
Sensor no: 5-4= node36
Sensor no: 5-5= node37
Sensor no: 5-6= node38
Sensor no: 5-7= node39
Sensor no: 5-8= node40
Sensor no: 5-9= node41
Sensor no: 5-10= node42
Sensor no: 5-11= node43
Sensor no: 6-1= node44
Sensor no: 6-2= node45
Sensor no: 6-3= node46
Sensor no: 6-4= node47
Sensor no: 6-5= node48
Sensor no: 6-6= node49
Sensor no: 6-7= node50
Sensor no: 6-8= node51
Sensor no: 6-9= node52
Sensor no: 6-10= node53
Sensor no: 7-1= node54
Sensor no: 8-1= node55
Sensor no: 8-2= node56
Sensor no: 8-3= node57
Sensor no: 8-4= node58
Sensor no: 9-1= node59
Sensor no: 10-1= node60
Sensor no: 10-2= node61
Sensor no: 10-3= node62
Sensor no: 11-1= node63
Sensor no: 11-2= node64
Sensor no: 12-1= node65
Sensor no: 12-2= node66
Sensor no: 13-1= node67
Sensor no: 13-2= node68
Sensor no: 13-3= node69
Sensor no: 13-4= node70
Sensor no: 13-5= node71
Sensor no: 13-6= node72
Sensor no: 13-7= node73
Sensor no: 13-8= node74
Sensor no: 13-9= node75
Sensor no: 14-1= node76
Sensor no: 14-2= node77
Sensor no: 15-1= node78
Sensor no: 15-2= node79
Sensor no: 16-1= node80
Sensor no: 16-2= node81
Sensor no: 16-3= node82
Sensor no: 16-4= node83
Sensor no: 16-5= node84
Sensor no: 16-6= node85
Sensor no: 16-7= node86
Sensor no: 16-8= node87
Sensor no: 17-1= node88
Sensor no: 17-2= node89
Sensor no: 17-3= node90
Sensor no: 18-1= node91
Sensor no: 18-2= node92
Sensor no: 19-1= node93
Sensor no: 19-2= node94
Sensor no: 19-3= node95
Sensor no: 19-4= node96
Sensor no: 19-5= node97
Sensor no: 20-1= node98
Sensor no: 20-2= node99
Sensor no: 20-3= node100
Sensor no: 20-4= node101
Sensor no: 20-5= node102
Sensor no: 20-6= node103
Sensor no: 20-7= node104
Sensor no: 20-8= node105
Sensor no: 20-9= node106
Sensor no: 21-1= node107
Sensor no: 21-2= node108
Sensor no: 21-3= node109
Sensor no: 22-1= node110
Sensor no: 23-1= node111
Sensor no: 23-2= node112
Sensor no: 24-1= node113
Sensor no: 24-2= node114
Sensor no: 25-1= node115
Sensor no: 25-2= node116
Sensor no: 25-3= node117
Sensor no: 26-1= node118
Sensor no: 26-2= node119
Sensor no: 26-3= node120
